"X","Y","LSOA2011"
427636.257,566444.552,"E01008363"
427505.777,565929.017,"E01008360"
427313.275,565802.898,"E01008361"
428227.361,516056.286,"E01012309"
425718.777,566130.162,"E01008368"
425063.468,566397.606,"E01008369"
445002.654,519771.748,"E01012266"
444207.14,519263.598,"E01012267"
443698.165,517789.39,"E01012264"
444224.268,518281.065,"E01012262"
444765.684,522132.85,"E01012260"
444952.947,521680.362,"E01012261"
444840.878,520611.016,"E01012268"
438493.807,516447.692,"E01012269"
423380.592,560282.261,"E01008256"
424380.474,561728.148,"E01008257"
424880.383,561497.644,"E01008254"
425149.679,561180.548,"E01008255"
425434.269,561977.024,"E01008252"
425170.637,561754.463,"E01008253"
415147.008,564452.14,"E01008250"
425457.991,561620.182,"E01008251"
424083.879,562504.837,"E01008258"
424028.43,561859.893,"E01008259"
412813.977,551731.6,"E01020669"
440789.141,561992.139,"E01008687"
435542.197,562952.992,"E01008606"
440428.968,562267.523,"E01008686"
435486.151,563296.891,"E01008607"
440710.527,563027.159,"E01008685"
432809.387,565431.27,"E01008604"
439561.69,564816.19,"E01008684"
434173.229,563635.12,"E01008602"
436504.967,565573.645,"E01008683"
437027.286,564312.313,"E01008682"
434327.004,563133.33,"E01008603"
433345.117,565224.565,"E01008600"
437460.152,564638.525,"E01008681"
433985.074,564122.496,"E01008601"
437183.162,565127.732,"E01008680"
436426.595,562814.284,"E01008689"
434650.797,563309.212,"E01008608"
436715.248,563169.313,"E01008688"
435943.878,563292.433,"E01008609"
429799.637,540054.763,"E01020732"
442225.863,541325.303,"E01020733"
431805.2,542275.267,"E01020731"
446279.379,539036.518,"E01020738"
445694.859,539499.656,"E01020739"
436442.562,545765.925,"E01008746"
433399.995,547636.527,"E01008747"
436055.831,546200.941,"E01008744"
435612.485,546555.642,"E01008745"
435424.716,547332.683,"E01008742"
434932.155,546696.455,"E01008743"
440034.299,555347.114,"E01008740"
440957.386,554498.154,"E01008741"
434871.435,547625.925,"E01008748"
433427.688,549635.201,"E01008749"
430933.147,570857.128,"E01032647"
431036.678,571284.379,"E01032648"
438493.649,565087.905,"E01008636"
439033.883,564934.22,"E01008637"
438196.23,564683.959,"E01008634"
437931.785,564755.817,"E01008635"
433061.101,562896.267,"E01008632"
438603.561,564681.13,"E01008633"
433558.691,562032.549,"E01008630"
433615.189,563009.593,"E01008631"
430490.183,565175.27,"E01008638"
431225.328,565067.894,"E01008639"
399291.173,652558.975,"E01027387"
399168.878,651365.252,"E01027386"
421437.023,630586.036,"E01027384"
421872.204,631830.633,"E01027383"
390373.576,647079.897,"E01027382"
398102.018,637879.383,"E01027381"
402008.898,646559.106,"E01027380"
400055.998,651482.097,"E01027388"
437793.512,545340.924,"E01033206"
438624.875,544956.908,"E01033205"
440617.03,549958.108,"E01033202"
429868.4,532067.346,"E01033203"
426587.649,585689.05,"E01027554"
429652.139,584086.665,"E01027552"
427148.645,585327.42,"E01027553"
427770.377,582708.614,"E01027550"
427770.063,583136.696,"E01027551"
426540.71,575439.361,"E01027406"
370754.845,564320.767,"E01027487"
426959.796,575258.689,"E01027407"
370098.384,563794.108,"E01027486"
426643.781,577592.944,"E01027404"
370286.312,564134.112,"E01027485"
427012.035,577400.691,"E01027405"
375639.402,564769.144,"E01027484"
426293.435,578637.031,"E01027402"
406544.057,563972.667,"E01027483"
426342.577,578127.281,"E01027403"
399296.928,564733.816,"E01027482"
427274.305,578638.251,"E01027400"
398941.457,564642.62,"E01027481"
426885.727,578459.637,"E01027401"
392839.75,573958.229,"E01027480"
426947.235,575940.22,"E01027408"
392898.759,563271.641,"E01027489"
426496.896,576649.306,"E01027409"
384087.678,564297.884,"E01027488"
428423.018,522937.913,"E01020826"
437222.866,535590.622,"E01020827"
427530.72,524484.326,"E01020824"
428182.926,524681.458,"E01020825"
426013.993,531487.006,"E01020822"
424813.605,532837.985,"E01020823"
426310.529,534018.302,"E01020820"
424129.687,533170.477,"E01020821"
435519.308,528375.889,"E01020828"
435406.501,529461.1,"E01020829"
429892.618,558572.949,"E01008876"
428785.541,558394.871,"E01008877"
429804.463,556756.611,"E01008874"
429380.551,556824.879,"E01008875"
428841.827,555094.548,"E01008872"
428919.754,556940.291,"E01008873"
429302.585,555136.65,"E01008870"
429796.142,555253.53,"E01008871"
429679.262,558054.356,"E01008878"
429945.397,557504.526,"E01008879"
461149.997,523925.75,"E01012176"
461597.36,523179.854,"E01012177"
454327.716,518613.146,"E01012174"
455091.6,519471.332,"E01012175"
455127.061,518952.193,"E01012172"
454772.274,518595.325,"E01012173"
453700.301,520561.616,"E01012170"
455656.542,519083.419,"E01012171"
460953.95,524293.335,"E01012178"
461008.722,523255.118,"E01012179"
450435.124,519003.62,"E01012026"
450357.177,518636.475,"E01012027"
447795.718,515977.579,"E01012024"
448171.709,515758.55,"E01012025"
447692.008,515523.687,"E01012022"
448499.811,515439.034,"E01012023"
450249.192,517672.877,"E01012020"
449915.687,517297.365,"E01012021"
428073.305,514634.878,"E01012316"
429959.075,513127.426,"E01012317"
425978.76,516161.261,"E01012314"
427553.836,514683.042,"E01012315"
426538.094,516237.348,"E01012312"
426664.114,515855.096,"E01012313"
427061.354,516108.745,"E01012310"
427655.552,515994.513,"E01012311"
422551.42,567752.252,"E01008376"
421754.692,567221.531,"E01008377"
422909.531,567736.688,"E01008374"
425287.332,566721.699,"E01008372"
425100.967,566607.088,"E01008373"
425226.128,565715.44,"E01008370"
430709.12,513178.927,"E01012318"
425503.818,566909.201,"E01008371"
430923.226,513745.26,"E01012319"
423257.326,567217.444,"E01008378"
384377.185,402778.911,"E01005161"
385481.428,390720.691,"E01005168"
330175.325,389006.934,"E01007156"
385030.162,390118.433,"E01005169"
329614.065,389362.545,"E01007157"
332982.357,383380.439,"E01007154"
330827.98,388468.792,"E01007155"
333396.123,383984.193,"E01007152"
333058.195,383800.297,"E01007153"
334401.336,379923.233,"E01007150"
332732.135,384086.485,"E01007151"
329733.305,388990.654,"E01007158"
328664.897,388978.364,"E01007159"
374661.372,427229.97,"E01025056"
376062.88,429290.337,"E01025057"
373887.223,426876.413,"E01025054"
373668.256,427169.458,"E01025055"
376808.838,429259.296,"E01025052"
377489.694,430598.169,"E01025053"
374373.871,430885.757,"E01025050"
377392.902,429976.939,"E01025051"
375554.248,429322.023,"E01025058"
375887.894,429659.23,"E01025059"
311462.26,530181.536,"E01019087"
310899.137,533351.692,"E01019086"
308771.805,530526.318,"E01019085"
307537.926,531396.586,"E01019084"
