"X","Y","MSOA2011"
339693.424,391266.624,"E02001375"
341053.285,391750.432,"E02001372"
339039.562,391527.684,"E02001373"
336709.781,391968.199,"E02001370"
342070.231,391740.777,"E02001371"
339354.745,390179.791,"E02001378"
349674.711,405862.718,"E02005316"
349808.405,404969.904,"E02005317"
346924.009,406224.84,"E02005314"
340118.785,406290.893,"E02005315"
348663.338,407578.006,"E02005312"
348722.422,406798.325,"E02005313"
341757.633,408105.559,"E02005310"
344611.369,407575.867,"E02005311"
351557.825,405242.189,"E02005318"
333275.237,447808.929,"E02005319"
343828.575,464301.406,"E02005226"
345231.009,464805.758,"E02005224"
352652.51,464593.787,"E02005225"
357969.353,469569.257,"E02005222"
347794.655,466949.327,"E02005223"
349707.613,470773.893,"E02005221"
387179.099,387279.032,"E02001216"
354696.558,405486.41,"E02001297"
392177.503,387268.326,"E02001217"
355844.248,405485.157,"E02001296"
385354.161,387892.816,"E02001214"
359070.105,405753.941,"E02001295"
395915.316,387851.383,"E02001215"
357443.838,406412.04,"E02001294"
388674.227,388195.388,"E02001212"
360058.914,406697.323,"E02001293"
390741.064,387919.064,"E02001213"
358226.967,407029.543,"E02001292"
391733.501,388482.598,"E02001210"
356856.897,407211.222,"E02001291"
342973.68,463411.366,"E02005228"
384422.527,388528.657,"E02001211"
360922.334,408478.971,"E02001290"
342241.897,463347.549,"E02005229"
388961.678,386760.595,"E02001218"
361874.228,404426.188,"E02001299"
391341.596,386316.363,"E02001219"
360062.92,405316.463,"E02001298"
362023.108,390652.674,"E02002597"
363180.297,391167.496,"E02002596"
360999.988,391136.167,"E02002595"
365858.776,391632.208,"E02002594"
364700.139,391969.714,"E02002593"
356992.41,392952.148,"E02002592"
366015.622,394908.737,"E02002591"
365045.29,395132.955,"E02002590"
358255.871,389692.907,"E02002599"
357264.445,389883.438,"E02002598"
330958.421,390770.505,"E02001476"
329061.379,389998.713,"E02001477"
331967.724,391117.747,"E02001474"
326932.977,390472.908,"E02001475"
330470.867,391627.769,"E02001473"
330074.905,392588.448,"E02001470"
331447.97,391867.226,"E02001471"
326016.943,389965.248,"E02001478"
324165.117,389913.351,"E02001479"
366898.901,429053.77,"E02002616"
369148.789,429265.817,"E02002617"
362028.165,384206.656,"E02002614"
368687.558,430343.17,"E02002615"
361779.588,385992.542,"E02002612"
362954.18,384578.053,"E02002613"
368519.806,387285.335,"E02002610"
363833.773,386860.633,"E02002611"
368190.951,429063.565,"E02002618"
367097.289,428142.156,"E02002619"
384567.12,398957.002,"E02006902"
391437.324,375407.43,"E02003866"
389541.641,374249.834,"E02003867"
384146.138,378255.833,"E02003864"
393137.434,377480.763,"E02003865"
390105.035,377318.522,"E02003862"
375116.782,378130.476,"E02003863"
383502.835,380226.728,"E02003860"
376077.781,378889.025,"E02003861"
392518.931,373973.977,"E02003868"
390660.947,373808.902,"E02003869"
378625.274,406288.381,"E02001036"
380020.719,405995.119,"E02001037"
377847.325,407427.034,"E02001034"
381467.149,407075.573,"E02001035"
377689.929,408229.217,"E02001032"
379380.539,407957.247,"E02001033"
376295.528,408929.952,"E02001030"
380608.577,408737.258,"E02001031"
380771.165,405730.965,"E02001038"
381594.117,405787.358,"E02001039"
338593.412,397211.754,"E02001347"
343729.91,386402.095,"E02001344"
344565.939,385809.957,"E02001345"
343791.897,390272.787,"E02001342"
345994.362,389148.732,"E02001343"
341886.36,390835.927,"E02001340"
344995.101,390322.004,"E02001341"
336823.93,397128.682,"E02001348"
335986.61,396598.26,"E02001349"
341756.547,461237.299,"E02005236"
347071.26,461115.85,"E02005237"
347805.687,461664.41,"E02005234"
348240.384,461019.353,"E02005235"
348633.616,462035.609,"E02005233"
344108.125,463237.202,"E02005230"
347616.483,463189.041,"E02005231"
348403.547,460013.117,"E02005238"
348409.395,456820.963,"E02005239"
338261.155,402855.622,"E02001446"
338189.048,401867.743,"E02001447"
330263.13,406550.701,"E02001444"
337181.823,403571.73,"E02001445"
329942.099,407638.746,"E02001442"
328857.012,406509.761,"E02001443"
330886.029,411751.69,"E02001440"
329069.39,407923.001,"E02001441"
337207.134,401490.639,"E02001448"
333188.896,400651.9,"E02001449"
383182.235,401757.143,"E02001166"
381642.022,401584.546,"E02001167"
379287.18,402047.124,"E02001164"
376923.815,401922.35,"E02001165"
377386.304,402521.126,"E02001162"
373877.785,402508.817,"E02001163"
371839.819,403254.118,"E02001160"
377952.067,402823.205,"E02001161"
377860.854,401078.419,"E02001168"
372535.041,401018.167,"E02001169"
380207.665,432463.292,"E02005186"
382699.911,431995.034,"E02005185"
382798.593,397122.179,"E02006916"
387140.901,432092.034,"E02005184"
383357.653,397648.015,"E02006917"
385842.755,432371.51,"E02005183"
383952.522,397190.05,"E02006914"
384901.647,432604.679,"E02005182"
383772.242,400556.76,"E02006915"
382310.123,432966.862,"E02005181"
384642.184,397847.245,"E02006912"
381933.003,433498.459,"E02005180"
357905.446,424208.65,"E02005189"
363489.477,375312.194,"E02003876"
349670.501,374925.184,"E02003877"
352188.261,377713.899,"E02003874"
362935.758,377289.252,"E02003875"
391570.089,372080.852,"E02003873"
391355.134,373119.43,"E02003870"
389702.34,372942.973,"E02003871"
369197.568,374829.712,"E02003878"
365920.863,373862.602,"E02003879"
384699.684,391244.743,"E02001087"
370449.13,407563.559,"E02001006"
382840.968,391839.785,"E02001086"
375568.596,407384.549,"E02001007"
386349.277,392246.319,"E02001085"
370491.215,408285.108,"E02001004"
385324.717,392392.146,"E02001084"
372136.957,407530.5,"E02001005"
383797.807,392308.573,"E02001083"
374510.453,408860.292,"E02001002"
384490.212,392636.529,"E02001082"
368240.276,408519.395,"E02001003"
381509.094,393349.497,"E02001081"
373085.09,409528.698,"E02001000"
385799.107,393355.334,"E02001080"
369592.741,409153.364,"E02001001"
385270.471,390303.328,"E02001089"
371158.934,407278.903,"E02001008"
381170.894,390493.368,"E02001088"
369671.499,407080.274,"E02001009"
339434.779,394624.859,"E02001356"
338199.709,394388.757,"E02001357"
337500.184,394904.671,"E02001354"
336225.425,394634.121,"E02001355"
336130.859,395599.683,"E02001352"
341562.314,395323.545,"E02001353"
340173.702,395522.869,"E02001350"
338480.968,395530.84,"E02001351"
335732.982,394274.075,"E02001358"
340845.365,393746.74,"E02001359"
376797.986,394625.296,"E02001267"
378563.603,394950.525,"E02001264"
373947.132,394847.671,"E02001265"
331597.176,446522.333,"E02005321"
342624.063,386929.18,"E02001397"
365691.322,400609.221,"E02001316"
336100.401,387367.782,"E02001396"
366783.882,400426.386,"E02001317"
339315.747,387498.54,"E02001395"
369693.114,401258.165,"E02001314"
338198.636,387416.801,"E02001394"
370387.116,400807.209,"E02001315"
340905.796,387856.501,"E02001393"
361278.409,401613.846,"E02001312"
342316.033,388020.899,"E02001392"
